"TokenID","TokenIDPadded","Name","Description","TokenURI","ResolvedMetadataURL","ImageURI","ResolvedImageURL","ReferenceImagePath","DHash","OpenSeaURL","AttributesJSON"
"1","00001","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/1","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/1","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/1","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/1","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00001.png","1a07070707070707","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1","[{""trait_type"":""Background"",""value"":""Mandala 1""},{""trait_type"":""Face"",""value"":""Basic (Yellow)""},{""trait_type"":""Accessory"",""value"":""Winged Sunglasses""}]"
"2","00002","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/2","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/2","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/2","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/2","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00002.png","0607070707250f07","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/2","[{""trait_type"":""Background"",""value"":""Mandala 12""},{""trait_type"":""Face"",""value"":""Basic (Pink)""},{""trait_type"":""Accessory"",""value"":""Groucho Glasses""}]"
"4","00004","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/4","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/4","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/4","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/4","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00004.png","5278393131335850","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4","[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""Face"",""value"":""Smiley Face (Yellow)""},{""trait_type"":""Hat"",""value"":""Police - Grin (Blue)""},{""trait_type"":""Body"",""value"":""Dino Body""}]"
"5","00005","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/5","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/5","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/5","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/5","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00005.png","da3238f0f2707064","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/5","[{""trait_type"":""Background"",""value"":""Pink""},{""trait_type"":""Face"",""value"":""Smiley Face (Red)""},{""trait_type"":""Accessory"",""value"":""Butterfly Wings""},{""trait_type"":""Hat"",""value"":""Pink Military""},{""trait_type"":""Body"",""value"":""Tanktop Mermaid""}]"
"6","00006","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/6","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/6","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/6","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/6","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00006.png","06070f0f0f07070f","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/6","[{""trait_type"":""Background"",""value"":""Mandala 2""},{""trait_type"":""Face"",""value"":""Diaper Mask""},{""trait_type"":""Hat"",""value"":""Fez - Cathy Cowgirl""}]"
"7","00007","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/7","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/7","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/7","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/7","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00007.png","06070707070f0f07","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/7","[{""trait_type"":""Status"",""value"":""Rare""},{""trait_type"":""Collection"",""value"":""Cracked Bulb Crown""},{""trait_type"":""Variant"",""value"":""CB - V1""}]"
"8","00008","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/8","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/8","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/8","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/8","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00008.png","0406071307070f1f","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/8","[{""trait_type"":""Background"",""value"":""Mandala 8""},{""trait_type"":""Face"",""value"":""StarSkull Red Face""},{""trait_type"":""Hat"",""value"":""Fez - Heart Lady""},{""trait_type"":""Body"",""value"":""Brown Guitar""}]"
"10","00010","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/10","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/10","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/10","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/10","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00010.png","4343535343233153","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/10","[{""trait_type"":""Status"",""value"":""Rare""},{""trait_type"":""Collection"",""value"":""Genie in a Bottle""},{""trait_type"":""Variant"",""value"":""GI - V3""}]"
"11","00011","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/11","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/11","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/11","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/11","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00011.png","444656f436307070","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/11","[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""Face"",""value"":""Basic (Yellow)""},{""trait_type"":""Accessory"",""value"":""Water Spout""},{""trait_type"":""Body"",""value"":""Tanktop Tree""}]"
"13","00013","","","ipfs://QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/13","https://ipfs.io/ipfs/QmXpXg2KDaqtFwFutCx11Lib4BJ86RPkUpkxCJJCDSc5SL/13","ipfs://QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/13","https://ipfs.io/ipfs/QmWNWmgdMtxpyofvTSVRFjzTugo71Q6WDy3Wq62pCeawUz/13","D:\github\ron-english-light-cult-0001-1000\data\generated\light-cult-image-match-powershell-only\run-20260514-145538\reference-images\Light-Cult-Crypto-Club-00013.png","5270702564307070","https://opensea.io/assets/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/13","[{""trait_type"":""Background"",""value"":""Pink""},{""trait_type"":""Face"",""value"":""White Mask""},{""trait_type"":""Hat"",""value"":""Weed Crown""},{""trait_type"":""Body"",""value"":""Tanktop""}]"
